0.42786,1,1,1,1,1,0.1912,1,0.53108,1,0.089333,1,1,1,1,0.48287,0.45367,1,1,1,1,0.059432,0.039362,1,1,1,0.56909,0.13709,1,0.39563,0.76691,1,1,1,0.82837,0.32956,1,1,0.29458,1,1,0.21627,1,0.33779,1,1,1,1,0.54058,1,1,0.46477,1,1,0.62615,1,1,1,0.51994,1,1,1,1,0.18121,1,1,1,0.19521,0.028836,0.17416,1,0.40378,1,0.043335,0.60051,1,1,1,1,1,1,1,1,1,1,0.22483,1,0.56786,1,1,1,1,1,1,0.15945,1,
1,1,1,0.097648,1.0342,1,1,1,1,1.2944,1,1,1,1,1,1,0.13656,0.098958,0.57675,0.96165,1,1,1,1,0.7795,1,1,1,1,0.19329,1,1,1,1,1,1,0.8792,1,0.12812,1,1,1,1,1,1,0.31355,1,0.65666,1,1,1,0.10599,2.2166,1,0.11436,0.053698,0.15049,1,0.1103,1,0.39927,1,1,0.034862,1.0224,1,1,0.1828,1,1,1,0.25964,1.0917,0.031445,0.27664,0.028135,0.93006,1.3696,1,1,0.066887,1.3696,0.59989,1.3696,0.0333,0.1654,1,0.31125,1,1,1.2702,1,1,1,0.031483,0.60665,
0.3108,0.72376,0.44663,0.026401,0.059596,1,0.036167,1,0.3627,0.16355,0.034939,1.3359,1,1,1,1,1,0.037847,1,0.90233,0.031047,1,0.49668,1.4318,0.13767,0.11256,0.36327,1,1,1,0.38809,1,1.226,1,0.50425,0.31457,1,1,0.11946,0.50163,1,1,1,0.077823,1,0.15417,1,1,1,0.68353,0.85823,0.082522,0.22176,1,0.1074,0.11792,1,1,1,1.0406,0.084359,0.13453,0.079093,0.044728,1,0.042762,0.9628,0.07811,0.23142,0.42315,0.5343,1,0.16793,1,0.26729,0.026624,0.037979,1,1,1,0.032071,1,0.090644,1,0.11432,1,1.0199,1,1,0.1085,1,1,0.72453,1,0.049277,1,
0.20218,0.13032,0.29274,1,1,1,0.1418,1,1,1,1,0.37126,1,1,1,1,0.36728,0.21639,1,1,1,1,1,1,1,1,0.1706,1,1,1,1,1,0.15358,1.0387,1,0.19317,1,1,1,1,1,1,1,1,1,1,1,0.048578,0.65875,1,1,0.14541,1,1,1,0.091988,1,1,1,1,1,1,1,1,0.32661,1,0.11469,0.051281,0.30015,1,0.24277,0.38277,0.14889,0.39718,1,0.067583,1,0.34214,1,1,1,0.34214,1,0.34214,1,1,1,1,1,0.13418,0.27631,1,1,1,1,1,
1,0.37447,0.16281,0.41615,1,1.9048,0.26443,1.0647,1,0.42373,0.40734,1,1,2.5128,0.99233,1,1,0.37003,1,1,1,0.71786,0.22114,1,0.38072,1,1,1,0.034898,1,0.45166,0.067829,1,1,0.15053,0.32489,0.10183,1,1,1,2.1083,1,1,1,1.9699,1,1.4075,0.23224,1,1,1,0.050012,1,1.4736,1,0.090098,1,1.5676,1,0.036167,1,0.27107,0.42659,1,0.12149,1,0.18718,0.13787,1,1,1,1,1,0.08196,0.57032,0.29573,0.34152,1,1,1,0.15524,1,1,1,0.44515,1,1,0.60043,1,1,0.066887,1,1,1,1,0.71102,
1,1,1,1,1,0.19067,1,0.27267,0.61644,0.2433,1,1,1,0.30957,0.37564,1,0.32268,1,1,1,0.55672,0.13136,1,0.55844,1,1,1,1,1,1,1,1,1,1,0.22659,0.21102,0.097033,1,1,1,1,1,1,1,1,1,1,1,1,1,0.60526,0.097435,1,1,1,0.11315,0.74018,1,1,1,1,0.26317,0.10543,1,0.36016,1,0.072465,0.070942,1,0.08835,0.29135,0.39731,1,0.26104,0.19738,0.077209,0.19235,1,1,1,1,1,1,1,1,0.78372,1,1,1,1,0.28586,0.086834,1,1.9154,1,0.069672,
1,0.2195,0.24887,0.027975,0.64986,1,1,1,1,1,0.31547,0.41902,1.8932,1,1,1.1234,1,1,1,1,1,1,0.078994,0.14004,1,1,1,1,1,1,0.32714,1,1,1,1,0.10604,0.14979,1,1,1,0.2469,1.1984,1,0.03928,1,1,0.42426,1,1,1,1,0.084641,0.86478,1,1,0.15204,1,1,1,0.036197,0.82321,1,0.15185,1,1,1,0.15656,1,1,0.2007,1,0.19804,1,0.15851,0.034324,0.33034,0.038625,0.63528,1,0.057876,1,0.63528,1,0.63524,0.38363,1,1,1,1.6965,1,0.22343,1,1,1,1,0.22167,
0.95567,0.32882,1,0.26947,0.24568,1,1,1,1,0.38391,1,1,1,1,1,1,1,1,1,1,1,1,0.075845,1,0.53837,1,1,1,1,1,0.27082,0.49262,1,1,1,1,0.215,1,1,0.97832,0.31375,1,1.9337,0.054804,1,1,1,1,1,0.81882,1,0.043212,1,0.57581,1,0.13304,1,1,1,0.065699,1,0.37578,1,1,1,1,1,0.40824,0.68943,1,0.46888,0.037642,0.63434,0.13185,1,0.1708,1,0.078683,1,0.075161,0.034283,0.028917,1,0.078724,0.037191,1,1.0212,0.46321,1,1,1,1,1,1,1,0.22343,
0.18702,1,1,0.11882,1,0.55553,1,0.69308,0.55312,0.30491,0.50524,1,1,0.14975,0.42905,1,0.028672,1,1,1.3767,0.54861,1,1,1,1,1.1896,1.1078,1,1,1.4353,1,1,0.9554,0.91291,1,1,1,1,0.045588,1,1,0.37875,1,0.082943,0.86933,1.169,1,1,1,0.23384,0.695,0.02902,0.36418,0.11899,1.3263,1,0.46186,1,1,0.20979,0.36216,0.26378,1,1.2066,0.085565,1.2944,0.11247,0.043961,1,0.0299,1,1,0.082243,0.27988,1,0.13205,1,1,1,0.041295,0.043008,1,0.076757,1,0.17019,1,1,1,1,0.98188,0.069006,0.53813,1.2676,1,1.2161,0.12714,
0.079462,0.066596,0.053493,0.061685,0.30319,0.19001,0.03203,0.2066,0.041533,0.065904,0.032556,0.66518,0.64347,1,0.25202,0.12665,1,0.80895,1.4629,0.21455,0.21594,1,1,1,1,0.061112,0.080363,1,1,1,0.36548,1,0.029204,1,1,1,1,2.7328,1,1,0.077946,1,0.21786,0.046039,0.063815,1,1,0.92601,0.071352,0.2129,0.091831,0.21217,0.04952,0.067419,0.08962,0.42049,0.30752,1,0.036864,0.11139,1,0.092956,1,0.027484,0.19496,0.022493,1,0.033259,0.10731,1,1,0.05804,0.073359,0.15855,0.57769,0.084991,0.56496,0.16007,1,0.066928,0.078077,0.54751,0.036126,0.16007,1,1,1,1,1,0.033382,0.035683,0.24899,0.20026,0.72285,0.07041,1,
